Mode,Workers,Time
sync,2,114.2801783978939
sync,4,68.82364816963673
sync,6,36.20288169384003
sync,8,31.37815283983946
synccol,2,117.88987737894058
synccol,4,57.11604182422161
synccol,6,39.90496125817299
synccol,8,44.89302196353674
async,2,153.54699087142944
async,4,104.01914994418621
async,6,59.86557551225027
async,8,48.21065979450941
asynccol,2,156.91918843984604
asynccol,4,78.47198125720024
asynccol,6,53.29675446947416
asynccol,8,46.50893959403038
